ord,totalInningWickets,inningBallsRemaining,predictedBallsFacedToCome,R19,inningNumber,fxbRunsAdjustRatio,fxbWktsAdjustRatio
1.0,0.0,1.0,2.453825453391605,0,1,1.0,1.0
1.0,0.0,1.0,2.453825453391605,0,2,1.0,1.0
1.0,0.0,1.0,2.453825453391605,1,1,1.0,1.0
1.0,0.0,1.0,2.453825453391605,1,2,1.0,1.0
1.0,0.0,1.0,2.453825453391605,2,1,1.0,1.0
1.0,0.0,1.0,2.453825453391605,2,2,1.0,1.0
1.0,0.0,1.0,2.453825453391605,3,1,1.0,1.0
1.0,0.0,1.0,2.453825453391605,3,2,1.0,1.0
1.0,0.0,1.0,2.453825453391605,4,1,1.0,1.0
1.0,0.0,1.0,2.453825453391605,4,2,1.0,1.0
1.0,0.0,1.0,2.453825453391605,5,1,1.0,1.0
1.0,0.0,1.0,2.453825453391605,5,2,1.0,1.0
1.0,0.0,1.0,2.453825453391605,6,1,1.0,1.0
1.0,0.0,1.0,2.453825453391605,6,2,1.0,1.0
1.0,0.0,1.0,2.453825453391605,7,1,1.0,1.0
1.0,0.0,1.0,2.453825453391605,7,2,1.0,1.0
1.0,0.0,1.0,2.453825453391605,8,1,1.0,1.0
1.0,0.0,1.0,2.453825453391605,8,2,1.0,1.0
1.0,0.0,1.0,2.453825453391605,9,1,1.0,1.0
1.0,0.0,1.0,2.453825453391605,9,2,1.0,1.0
1.0,0.0,1.0,2.453825453391605,10,1,1.0,1.0
1.0,0.0,1.0,2.453825453391605,10,2,1.0,1.0
1.0,1.0,1.0,2.9059741469047307,0,1,1.0,1.0
1.0,1.0,1.0,2.9059741469047307,0,2,1.0,1.0
1.0,1.0,1.0,2.9059741469047307,1,1,1.0,1.0
1.0,1.0,1.0,2.9059741469047307,1,2,1.0,1.0
1.0,1.0,1.0,2.9059741469047307,2,1,1.0,1.0
1.0,1.0,1.0,2.9059741469047307,2,2,1.0,1.0
1.0,1.0,1.0,2.9059741469047307,3,1,1.0,1.0
1.0,1.0,1.0,2.9059741469047307,3,2,1.0,1.0
1.0,1.0,1.0,2.9059741469047307,4,1,1.0,1.0
1.0,1.0,1.0,2.9059741469047307,4,2,1.0,1.0
1.0,1.0,1.0,2.9059741469047307,5,1,1.0,1.0
1.0,1.0,1.0,2.9059741469047307,5,2,1.0,1.0
1.0,1.0,1.0,2.9059741469047307,6,1,1.0,1.0
1.0,1.0,1.0,2.9059741469047307,6,2,1.0,1.0
1.0,1.0,1.0,2.9059741469047307,7,1,1.0,1.0
1.0,1.0,1.0,2.9059741469047307,7,2,1.0,1.0
1.0,1.0,1.0,2.9059741469047307,8,1,1.0,1.0
1.0,1.0,1.0,2.9059741469047307,8,2,1.0,1.0
1.0,1.0,1.0,2.9059741469047307,9,1,1.0,1.0
1.0,1.0,1.0,2.9059741469047307,9,2,1.0,1.0
1.0,1.0,1.0,2.9059741469047307,10,1,1.0,1.0
1.0,1.0,1.0,2.9059741469047307,10,2,1.0,1.0
1.0,2.0,1.0,2.8814422678150295,0,1,1.0,1.0
1.0,2.0,1.0,2.8814422678150295,0,2,1.0,1.0
1.0,2.0,1.0,2.8814422678150295,1,1,1.0,1.0
1.0,2.0,1.0,2.8814422678150295,1,2,1.0,1.0
1.0,2.0,1.0,2.8814422678150295,2,1,1.0,1.0
1.0,2.0,1.0,2.8814422678150295,2,2,1.0,1.0
1.0,2.0,1.0,2.8814422678150295,3,1,1.0,1.0
1.0,2.0,1.0,2.8814422678150295,3,2,1.0,1.0
1.0,2.0,1.0,2.8814422678150295,4,1,1.0,1.0
1.0,2.0,1.0,2.8814422678150295,4,2,1.0,1.0
1.0,2.0,1.0,2.8814422678150295,5,1,1.0,1.0
1.0,2.0,1.0,2.8814422678150295,5,2,1.0,1.0
1.0,2.0,1.0,2.8814422678150295,6,1,1.0,1.0
1.0,2.0,1.0,2.8814422678150295,6,2,1.0,1.0
1.0,2.0,1.0,2.8814422678150295,7,1,1.0,1.0
1.0,2.0,1.0,2.8814422678150295,7,2,1.0,1.0
1.0,2.0,1.0,2.8814422678150295,8,1,1.0,1.0
1.0,2.0,1.0,2.8814422678150295,8,2,1.0,1.0
1.0,2.0,1.0,2.8814422678150295,9,1,1.0,1.0
1.0,2.0,1.0,2.8814422678150295,9,2,1.0,1.0
1.0,2.0,1.0,2.8814422678150295,10,1,1.0,1.0
1.0,2.0,1.0,2.8814422678150295,10,2,1.0,1.0
1.0,3.0,1.0,2.589482752482656,0,1,1.0,1.0
1.0,3.0,1.0,2.589482752482656,0,2,1.0,1.0
1.0,3.0,1.0,2.589482752482656,1,1,1.0,1.0
1.0,3.0,1.0,2.589482752482656,1,2,1.0,1.0
1.0,3.0,1.0,2.589482752482656,2,1,1.0,1.0
1.0,3.0,1.0,2.589482752482656,2,2,1.0,1.0
1.0,3.0,1.0,2.589482752482656,3,1,1.0,1.0
1.0,3.0,1.0,2.589482752482656,3,2,1.0,1.0
1.0,3.0,1.0,2.589482752482656,4,1,1.0,1.0
1.0,3.0,1.0,2.589482752482656,4,2,1.0,1.0
1.0,3.0,1.0,2.589482752482656,5,1,1.0,1.0
1.0,3.0,1.0,2.589482752482656,5,2,1.0,1.0
1.0,3.0,1.0,2.589482752482656,6,1,1.0,1.0
1.0,3.0,1.0,2.589482752482656,6,2,1.0,1.0
1.0,3.0,1.0,2.589482752482656,7,1,1.0,1.0
1.0,3.0,1.0,2.589482752482656,7,2,1.0,1.0
1.0,3.0,1.0,2.589482752482656,8,1,1.0,1.0
1.0,3.0,1.0,2.589482752482656,8,2,1.0,1.0
1.0,3.0,1.0,2.589482752482656,9,1,1.0,1.0
1.0,3.0,1.0,2.589482752482656,9,2,1.0,1.0
1.0,3.0,1.0,2.589482752482656,10,1,1.0,1.0
1.0,3.0,1.0,2.589482752482656,10,2,1.0,1.0
1.0,4.0,1.0,2.1879625347062,0,1,1.0,1.0
1.0,4.0,1.0,2.1879625347062,0,2,1.0,1.0
1.0,4.0,1.0,2.1879625347062,1,1,1.0,1.0
1.0,4.0,1.0,2.1879625347062,1,2,1.0,1.0
1.0,4.0,1.0,2.1879625347062,2,1,1.0,1.0
1.0,4.0,1.0,2.1879625347062,2,2,1.0,1.0
1.0,4.0,1.0,2.1879625347062,3,1,1.0,1.0
1.0,4.0,1.0,2.1879625347062,3,2,1.0,1.0
1.0,4.0,1.0,2.1879625347062,4,1,1.0,1.0
1.0,4.0,1.0,2.1879625347062,4,2,1.0,1.0
1.0,4.0,1.0,2.1879625347062,5,1,1.0,1.0
1.0,4.0,1.0,2.1879625347062,5,2,1.0,1.0
1.0,4.0,1.0,2.1879625347062,6,1,1.0,1.0
1.0,4.0,1.0,2.1879625347062,6,2,1.0,1.0
1.0,4.0,1.0,2.1879625347062,7,1,1.0,1.0
1.0,4.0,1.0,2.1879625347062,7,2,1.0,1.0
1.0,4.0,1.0,2.1879625347062,8,1,1.0,1.0
1.0,4.0,1.0,2.1879625347062,8,2,1.0,1.0
1.0,4.0,1.0,2.1879625347062,9,1,1.0,1.0
1.0,4.0,1.0,2.1879625347062,9,2,1.0,1.0
1.0,4.0,1.0,2.1879625347062,10,1,1.0,1.0
1.0,4.0,1.0,2.1879625347062,10,2,1.0,1.0
1.0,5.0,1.0,1.783362545722691,0,1,1.0,1.0
1.0,5.0,1.0,1.783362545722691,0,2,1.0,1.0
1.0,5.0,1.0,1.783362545722691,1,1,1.0,1.0
1.0,5.0,1.0,1.783362545722691,1,2,1.0,1.0
1.0,5.0,1.0,1.783362545722691,2,1,1.0,1.0
1.0,5.0,1.0,1.783362545722691,2,2,1.0,1.0
1.0,5.0,1.0,1.783362545722691,3,1,1.0,1.0
1.0,5.0,1.0,1.783362545722691,3,2,1.0,1.0
1.0,5.0,1.0,1.783362545722691,4,1,1.0,1.0
1.0,5.0,1.0,1.783362545722691,4,2,1.0,1.0
1.0,5.0,1.0,1.783362545722691,5,1,1.0,1.0
1.0,5.0,1.0,1.783362545722691,5,2,1.0,1.0
1.0,5.0,1.0,1.783362545722691,6,1,1.0,1.0
1.0,5.0,1.0,1.783362545722691,6,2,1.0,1.0
1.0,5.0,1.0,1.783362545722691,7,1,1.0,1.0
1.0,5.0,1.0,1.783362545722691,7,2,1.0,1.0
1.0,5.0,1.0,1.783362545722691,8,1,1.0,1.0
1.0,5.0,1.0,1.783362545722691,8,2,1.0,1.0
1.0,5.0,1.0,1.783362545722691,9,1,1.0,1.0
1.0,5.0,1.0,1.783362545722691,9,2,1.0,1.0
1.0,5.0,1.0,1.783362545722691,10,1,1.0,1.0
1.0,5.0,1.0,1.783362545722691,10,2,1.0,1.0
1.0,6.0,1.0,1.4307777142075992,0,1,1.0,1.0
1.0,6.0,1.0,1.4307777142075992,0,2,1.0,1.0
1.0,6.0,1.0,1.4307777142075992,1,1,1.0,1.0
1.0,6.0,1.0,1.4307777142075992,1,2,1.0,1.0
1.0,6.0,1.0,1.4307777142075992,2,1,1.0,1.0
1.0,6.0,1.0,1.4307777142075992,2,2,1.0,1.0
1.0,6.0,1.0,1.4307777142075992,3,1,1.0,1.0
1.0,6.0,1.0,1.4307777142075992,3,2,1.0,1.0
1.0,6.0,1.0,1.4307777142075992,4,1,1.0,1.0
1.0,6.0,1.0,1.4307777142075992,4,2,1.0,1.0
1.0,6.0,1.0,1.4307777142075992,5,1,1.0,1.0
1.0,6.0,1.0,1.4307777142075992,5,2,1.0,1.0
1.0,6.0,1.0,1.4307777142075992,6,1,1.0,1.0
1.0,6.0,1.0,1.4307777142075992,6,2,1.0,1.0
1.0,6.0,1.0,1.4307777142075992,7,1,1.0,1.0
