inningBallNumber,X_mm_balls_smooth,X_sd_balls_smooth,X_rr_balls_smooth,X_wr_balls_smooth
1,-0.043115223,-0.146802007,0,0
2,0.012513981,-0.37413648,0,0
3,0.060494024,-0.585860943,0,0
4,0.101181676,-0.782530558,0,0
5,0.134927267,-0.964691739,-0.000640166,0
6,0.162074691,-1.132882145,-0.005826385,0
7,0.182961401,-1.287630688,-0.010655639,0
8,0.197918412,-1.429457524,-0.01514398,0
9,0.207270302,-1.558874061,-0.01930713,0
10,0.211335209,-1.676382953,-0.023160486,0
11,0.210424834,-1.782478106,-0.026719116,0
12,0.204844438,-1.87764467,-0.029997762,0
13,0.194892843,-1.962359047,-0.033010838,0
14,0.180862436,-2.037088887,-0.035772432,0
15,0.163039162,-2.102293088,-0.038296303,0
16,0.141702529,-2.158421796,-0.040595885,0
17,0.117125606,-2.205916408,-0.042684284,0
18,0.089575024,-2.245209566,-0.044574277,0
19,0.059310976,-2.276725164,-0.046278317,0
20,0.026587215,-2.300878342,-0.047808528,0
21,-0.008348943,-2.318075491,-0.049176707,0
22,-0.045256621,-2.328714248,-0.050394324,0
23,-0.083901381,-2.333183501,-0.051472522,0
24,-0.124055222,-2.331863384,-0.052422116,0
25,-0.165496583,-2.325125283,-0.053253595,0
26,-0.20801034,-2.313331828,-0.053977119,0
27,-0.25138781,-2.296836903,-0.054602524,-4.71E-05
28,-0.295426746,-2.275985636,-0.055139316,-0.000654543
29,-0.33993134,-2.251114405,-0.055596676,-0.001319358
30,-0.384712222,-2.222550839,-0.055983454,-0.00203866
31,-0.429586463,-2.190613811,-0.056308178,-0.002809692
32,-0.474377569,-2.155613447,-0.056579045,-0.003629853
33,-0.518915487,-2.117851119,-0.056803926,-0.004496691
34,-0.563036602,-2.077619448,-0.056990366,-0.005407905
35,-0.606583735,-2.035202304,-0.057145581,-0.006361349
36,-0.64940615,-1.990874806,-0.05727646,-0.007355025
37,-0.691359546,-1.944903321,-0.057389567,-0.00838709
38,-0.732306061,-1.897545463,-0.057491136,-0.009455851
39,-0.772114272,-1.849050099,-0.057587076,-0.010559767
40,-0.810659194,-1.799657339,-0.057682967,-0.011697449
41,-0.847822283,-1.749598546,-0.057784064,-0.012867659
42,-0.883491428,-1.699096329,-0.057895292,-0.014069312
43,-0.917560963,-1.648364547,-0.058021252,-0.015301475
44,-0.949931655,-1.597608307,-0.058166216,-0.016563364
45,-0.980510712,-1.547023965,-0.058334128,-0.017854351
46,-1.009211781,-1.496799126,-0.058528607,-0.019173956
47,-1.035954946,-1.447112641,-0.058752943,-0.020521853
48,-1.06066673,-1.398134612,-0.0590101,-0.021897867
49,-1.083280095,-1.350026389,-0.059302715,-0.023301974
50,-1.103734441,-1.302940572,-0.059633097,-0.024734303
51,-1.121975607,-1.257021007,-0.060003228,-0.026195135
52,-1.137955868,-1.212402789,-0.060414762,-0.027684901
53,-1.151633941,-1.169212264,-0.060869028,-0.029204186
54,-1.16297498,-1.127567024,-0.061367026,-0.030753725
55,-1.171950576,-1.087575911,-0.061909429,-0.032334406
56,-1.178538761,-1.049339014,-0.062496585,-0.033947267
57,-1.182724004,-1.012947673,-0.063128512,-0.0355935
