balls_faced_host,run_factor_smooth,wkt_factor_smooth
0,0.993304707,1.01433556
1,0.993343448,1.014211649
2,0.993382161,1.014087893
3,0.993420846,1.013964295
4,0.993459502,1.013840852
5,0.993498131,1.013717566
6,0.99353673,1.013594436
7,0.993575302,1.013471463
8,0.993613845,1.013348646
9,0.99365236,1.013225986
10,0.993690847,1.013103482
11,0.993729305,1.012981134
12,0.993767735,1.012858943
13,0.993806137,1.012736908
14,0.993844511,1.01261503
15,0.993882856,1.012493308
16,0.993921173,1.012371742
17,0.993959461,1.012250333
18,0.993997721,1.01212908
19,0.994035953,1.012007983
20,0.994074157,1.011887043
21,0.994112332,1.01176626
22,0.994150479,1.011645633
23,0.994188598,1.011525162
24,0.994226689,1.011404847
25,0.994264751,1.011284689
26,0.994302785,1.011164688
27,0.99434079,1.011044842
28,0.994378767,1.010925153
29,0.994416716,1.010805621
30,0.994454637,1.010686245
31,0.994492529,1.010567025
32,0.994530393,1.010447962
33,0.994568229,1.010329055
34,0.994606037,1.010210305
35,0.994643816,1.010091711
36,0.994681567,1.009973273
37,0.994719289,1.009854992
38,0.994756983,1.009736867
39,0.994794649,1.009618898
40,0.994832287,1.009501086
41,0.994869896,1.009383431
42,0.994907477,1.009265931
43,0.99494503,1.009148588
44,0.994982554,1.009031402
45,0.99502005,1.008914372
46,0.995057518,1.008797498
47,0.995094958,1.008680781
48,0.995132369,1.00856422
49,0.995169752,1.008447816
50,0.995207107,1.008331568
51,0.995244433,1.008215476
52,0.995281731,1.008099541
53,0.995319001,1.007983762
54,0.995356242,1.007868139
55,0.995393455,1.007752673
56,0.99543064,1.007637364
57,0.995467796,1.00752221
58,0.995504925,1.007407213
59,0.995542025,1.007292373
60,0.995579096,1.007177689
61,0.995616139,1.007063161
62,0.995653154,1.00694879
63,0.995690141,1.006834575
64,0.9957271,1.006720517
65,0.99576403,1.006606615
66,0.995800931,1.006492869
67,0.995837805,1.00637928
68,0.99587465,1.006265847
69,0.995911467,1.00615257
70,0.995948256,1.00603945
71,0.995985016,1.005926486
72,0.996021748,1.005813679
73,0.996058452,1.005701028
74,0.996095127,1.005588534
75,0.996131774,1.005476196
76,0.996168393,1.005364014
77,0.996204983,1.005251989
78,0.996241545,1.00514012
79,0.996278079,1.005028407
80,0.996314585,1.004916851
81,0.996351062,1.004805452
82,0.996387511,1.004694208
83,0.996423932,1.004583121
84,0.996460324,1.004472191
85,0.996496688,1.004361417
86,0.996533024,1.004250799
87,0.996569331,1.004140338
88,0.996605611,1.004030033
89,0.996641861,1.003919884
90,0.996678084,1.003809892
91,0.996714278,1.003700057
92,0.996750444,1.003590377
93,0.996786582,1.003480855
94,0.996822691,1.003371488
95,0.996858772,1.003262278
96,0.996894825,1.003153224
97,0.996930849,1.003044327
98,0.996966846,1.002935586
99,0.997002813,1.002827002
100,0.997038753,1.002718573
101,0.997074664,1.002610302
102,0.997110547,1.002502186
103,0.997146402,1.002394228
104,0.997182228,1.002286425
105,0.997218026,1.002178779
106,0.997253796,1.002071289
107,0.997289537,1.001963956
108,0.997325251,1.001856779
109,0.997360935,1.001749759
110,0.997396592,1.001642894
111,0.99743222,1.001536187
112,0.99746782,1.001429635
113,0.997503392,1.001323241
114,0.997538935,1.001217002
115,0.99757445,1.00111092
116,0.997609937,1.001004994
117,0.997645395,1.000899225
118,0.997680825,1.000793612
119,0.997716227,1.000688155
120,0.997751601,1.000582855
121,0.997786946,1.000477712
122,0.997822263,1.000372724
123,0.997857551,1.000267893
124,0.997892812,1.000163219
125,0.997928044,1.000058701
126,0.997963247,0.999954339
127,0.997998423,0.999850134
128,0.99803357,0.999746085
129,0.998068689,0.999642192
130,0.998103779,0.999538456
131,0.998138842,0.999434877
132,0.998173875,0.999331453
133,0.998208881,0.999228186
134,0.998243858,0.999125076
135,0.998278807,0.999022122
136,0.998313728,0.998919324
137,0.99834862,0.998816683
138,0.998383485,0.998714198
139,0.99841832,0.998611869
140,0.998453128,0.998509697
141,0.998487907,0.998407681
142,0.998522658,0.998305822
143,0.99855738,0.998204119
144,0.998592075,0.998102573
145,0.998626741,0.998001182
146,0.998661378,0.997899949
147,0.998695988,0.997798871
148,0.998730569,0.99769795
149,0.998765122,0.997597186
150,0.998799646,0.997496578
151,0.998834142,0.997396126
152,0.99886861,0.997295831
153,0.99890305,0.997195692
154,0.998937461,0.997095709
155,0.998971844,0.996995883
156,0.999006199,0.996896213
157,0.999040525,0.9967967
158,0.999074823,0.996697343
159,0.999109093,0.996598143
160,0.999143334,0.996499098
161,0.999177548,0.996400211
162,0.999211732,0.996301479
163,0.999245889,0.996202904
164,0.999280017,0.996104486
165,0.999314117,0.996006224
166,0.999348189,0.995908118
167,0.999382232,0.995810169
168,0.999416247,0.995712376
169,0.999450234,0.995614739
170,0.999484192,0.995517259
171,0.999518123,0.995419935
172,0.999552024,0.995322768
173,0.999585898,0.995225757
174,0.999619743,0.995128903
175,0.99965356,0.995032204
176,0.999687349,0.994935663
177,0.999721109,0.994839277
178,0.999754841,0.994743048
179,0.999788545,0.994646976
180,0.99982222,0.99455106
181,0.999855868,0.9944553
182,0.999889486,0.994359697
183,0.999923077,0.99426425
184,0.999956639,0.994168959
185,0.999990173,0.994073825
186,1.000023679,0.993978847
187,1.000057156,0.993884026
188,1.000090605,0.993789361
189,1.000124026,0.993694852
190,1.000157418,0.9936005
191,1.000190782,0.993506304
192,1.000224118,0.993412265
193,1.000257426,0.993318382
194,1.000290705,0.993224656
195,1.000323956,0.993131085
196,1.000357178,0.993037672
197,1.000390373,0.992944414
198,1.000423539,0.992851313
199,1.000456677,0.992758369
200,1.000489786,0.992665581
201,1.000522867,0.992572949
202,1.00055592,0.992480474
203,1.000588944,0.992388155
204,1.000621941,0.992295992
205,1.000654908,0.992203986
206,1.000687848,0.992112136
207,1.000720759,0.992020443
208,1.000753642,0.991928906
209,1.000786497,0.991837525
210,1.000819323,0.991746301
211,1.000852122,0.991655233
212,1.000884891,0.991564322
213,1.000917633,0.991473567
214,1.000950346,0.991382968
215,1.000983031,0.991292526
216,1.001015688,0.99120224
217,1.001048316,0.991112111
218,1.001080916,0.991022138
219,1.001113487,0.990932322
220,1.001146031,0.990842661
221,1.001178546,0.990753158
222,1.001211033,0.99066381
223,1.001243491,0.990574619
224,1.001275921,0.990485585
225,1.001308323,0.990396707
226,1.001340697,0.990307985
227,1.001373042,0.990219419
228,1.001405359,0.99013101
229,1.001437648,0.990042758
230,1.001469908,0.989954662
231,1.00150214,0.989866722
232,1.001534344,0.989778938
233,1.001566519,0.989691312
234,1.001598667,0.989603841
235,1.001630785,0.989516527
236,1.001662876,0.989429369
237,1.001694938,0.989342368
238,1.001726972,0.989255523
239,1.001758978,0.989168834
240,1.001790955,0.989082302
241,1.001822904,0.988995926
242,1.001854825,0.988909707
243,1.001886718,0.988823644
244,1.001918582,0.988737737
245,1.001950418,0.988651987
246,1.001982225,0.988566393
247,1.002014004,0.988480956
248,1.002045755,0.988395675
249,1.002077478,0.98831055
250,1.002109172,0.988225582
251,1.002140838,0.98814077
252,1.002172476,0.988056115
253,1.002204086,0.987971616
254,1.002235667,0.987887273
255,1.00226722,0.987803087
256,1.002298744,0.987719057
257,1.00233024,0.987635184
258,1.002361708,0.987551467
259,1.002393148,0.987467906
260,1.002424559,0.987384502
261,1.002455942,0.987301254
262,1.002487297,0.987218163
263,1.002518623,0.987135228
264,1.002549922,0.987052449
265,1.002581191,0.986969827
266,1.002612433,0.986887361
267,1.002643646,0.986805052
268,1.002674831,0.986722899
269,1.002705988,0.986640902
270,1.002737116,0.986559062
271,1.002768216,0.986477378
272,1.002799288,0.986395851
273,1.002830331,0.98631448
274,1.002861346,0.986233265
275,1.002892333,0.986152207
276,1.002923292,0.986071305
277,1.002954222,0.98599056
278,1.002985124,0.985909971
279,1.003015997,0.985829538
280,1.003046843,0.985749262
281,1.00307766,0.985669142
282,1.003108448,0.985589179
283,1.003139209,0.985509372
284,1.003169941,0.985429721
285,1.003200645,0.985350227
286,1.00323132,0.985270889
287,1.003261967,0.985191708
288,1.003292586,0.985112683
289,1.003323177,0.985033814
290,1.003353739,0.984955102
291,1.003384273,0.984876546
292,1.003414779,0.984798147
293,1.003445256,0.984719904
294,1.003475705,0.984641817
295,1.003506126,0.984563887
296,1.003536518,0.984486113
297,1.003566883,0.984408496
298,1.003597218,0.984331035
299,1.003627526,0.98425373
300,1.003657805,0.984176582
301,1.003688056,0.98409959
302,1.003718279,0.984022755
303,1.003748473,0.983946076
304,1.003778639,0.983869553
305,1.003808777,0.983793187
306,1.003838887,0.983716977
307,1.003868968,0.983640924
308,1.003899021,0.983565027
309,1.003929045,0.983489286
310,1.003959042,0.983413702
311,1.00398901,0.983338274
312,1.004018949,0.983263002
313,1.004048861,0.983187887
314,1.004078744,0.983112929
315,1.004108598,0.983038127
316,1.004138425,0.982963481
317,1.004168223,0.982888991
318,1.004197993,0.982814658
319,1.004227734,0.982740482
320,1.004257448,0.982666461
321,1.004287133,0.982592598
322,1.004316789,0.98251889
323,1.004346418,0.982445339
324,1.004376018,0.982371945
325,1.004405589,0.982298706
326,1.004435133,0.982225624
327,1.004464648,0.982152699
328,1.004494135,0.98207993
329,1.004523593,0.982007317
330,1.004553024,0.981934861
331,1.004582425,0.981862561
332,1.004611799,0.981790418
333,1.004641144,0.981718431
334,1.004670461,0.9816466
335,1.00469975,0.981574926
336,1.004729011,0.981503408
