nationality,host,host_2,balls_faced_career_2,realexprbat_2,realexpwbat_2,run_factor,wkt_factor,all_away_runs_factor,all_away_wkts_factor,run_factor_2,wkt_factor_2,all_away_runs_factor_2,all_away_wkts_factor_2,run_factor_smooth,wkt_factor_smooth,run_factor_adj
Ireland,Bangladesh,England,1,4.604899547,0.130614122,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,0.993343448,1.014211649,1.010885127
Ireland,Bangladesh,England,4,66.27855008,2.223673135,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,0.993459502,1.013840852,1.010767038
Ireland,Bangladesh,England,53,58.51978931,1.296880572,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,0.995319001,1.007983762,1.008878678
Ireland,Bangladesh,England,90,96.16878466,3.29092817,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,0.996678084,1.003809892,1.007502958
Ireland,Bangladesh,England,154,3.950399057,0.085020703,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,0.998937461,0.997095709,1.005224208
Ireland,Bangladesh,England,157,16.04139812,0.40495038,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,0.999040525,0.9967967,1.005120506
Ireland,Bangladesh,Bangladesh,167,36.20753746,1.149686647,0.985949578,1.067711248,0.991671567,1.036671441,0.985949578,1.067711248,0.991671567,1.036671441,0.999382232,0.995810169,1.00061815
Ireland,Bangladesh,Bangladesh,196,12.86366786,0.336269048,0.985949578,1.067711248,0.991671567,1.036671441,0.985949578,1.067711248,0.991671567,1.036671441,1.000357178,0.993037672,0.99964295
Ireland,Bangladesh,Bangladesh,207,21.4577355,0.593665465,0.985949578,1.067711248,0.991671567,1.036671441,0.985949578,1.067711248,0.991671567,1.036671441,1.000720759,0.992020443,0.99927976
Ireland,Bangladesh,Bangladesh,221,9.102702531,0.251585478,0.985949578,1.067711248,0.991671567,1.036671441,0.985949578,1.067711248,0.991671567,1.036671441,1.001178546,0.990753158,0.998822841
Ireland,Bangladesh,Bangladesh,229,31.99897122,0.908029539,0.985949578,1.067711248,0.991671567,1.036671441,0.985949578,1.067711248,0.991671567,1.036671441,1.001437648,0.990042758,0.998564416
