competition,host,host_region,major
Afghanistan Premier League,United Arab Emirates,Asia,0
Bangladesh Premier League,Bangladesh,Asia,0
Big Bash League,Australia,AUS,1
Caribbean Premier League,United States of America,N America,0
Caribbean Premier League,West Indies,WI,1
International League T20,United Arab Emirates,Asia,1
Indian Premier League,India,Asia,1
Indian Premier League,United Arab Emirates,Asia,1
Major League Cricket,United States of America,N America,1
Mzansi Super League,South Africa,Africa,0
SA20,South Africa,Africa,1
Pakistan National T20 Cup,Pakistan,Asia,0
New Zealand Domestic Twenty20,New Zealand,NZ,0
Pakistan Super League,Pakistan,Asia,1
Pakistan Super League,United Arab Emirates,Asia,1
Super Smash,New Zealand,NZ,0
The Hundred (Men's Comp),England,UK,1
Vitality Blast,England,UK,1
T20I,Australia,AUS,1
T20I,Bangladesh,Asia,1
T20I,England,UK,1
T20I,India,Asia,1
T20I,Ireland,UK,0
T20I,New Zealand,NZ,1
T20I,Oman,Asia,0
T20I,Pakistan,Asia,1
T20I,Scotland,UK,0
T20I,South Africa,Africa,1
T20I,Sri Lanka,Asia,1
T20I,United Arab Emirates,Asia,1
T20I,United States of America,N America,0
T20I,West Indies,WI,1
T20I,Zimbabwe,Africa,1
tier_2,Scotland,UK,1
Lanka Premier League,Sri Lanka,Asia,1
tier_2,Zimbabwe,Africa,1
tier_2,United Arab Emirates,Asia,1
tier_2,India,Asia,1
tier_2,Sri Lanka,Asia,1
ODDOMMO Bangladesh T20 Cup,Bangladesh,Asia,1
