nationality,host_2,host,run_factor,wkt_factor,all_away_runs_factor,all_away_wkts_factor
Afghanistan,United Arab Emirates,Australia,0.9976572094018081,0.9910102196090985,1.0124877257747285,1.0031865927416075
Afghanistan,United Arab Emirates,Bangladesh,0.9877463773239388,1.0395050654328835,1.0124877257747285,1.0031865927416075
Afghanistan,United Arab Emirates,China,1.0053513172638886,1.008066222837911,1.0124877257747285,1.0031865927416075
Afghanistan,United Arab Emirates,England,1.0069022341881455,0.9595406262673292,1.0124877257747285,1.0031865927416075
Afghanistan,United Arab Emirates,India,0.989657353240953,1.0343774069352905,1.0124877257747285,1.0031865927416075
Afghanistan,United Arab Emirates,Ireland,1.0120950736743568,0.9798201719017263,1.0124877257747285,1.0031865927416075
Afghanistan,United Arab Emirates,Pakistan,0.9928010213254178,1.0288911358120925,1.0124877257747285,1.0031865927416075
Afghanistan,United Arab Emirates,South Africa,1.028293440487471,1.0103492083548975,1.0124877257747285,1.0031865927416075
Afghanistan,United Arab Emirates,Sri Lanka,0.9819100640842268,1.0475006128684037,1.0124877257747285,1.0031865927416075
Afghanistan,United Arab Emirates,United Arab Emirates,1.0,1.0,1.0124877257747285,1.0031865927416075
Afghanistan,United Arab Emirates,United States of America,1.0114093928678118,0.9897727833766837,1.0124877257747285,1.0031865927416075
Afghanistan,United Arab Emirates,West Indies,1.0041534803511485,1.0132277751868706,1.0124877257747285,1.0031865927416075
Afghanistan,United Arab Emirates,Zimbabwe,1.0362927798200694,1.0077196912583388,1.0124877257747285,1.0031865927416075
Australia,Australia,Australia,1.0,1.0,1.0124877257747285,1.0031865927416075
Australia,Australia,Bangladesh,1.02840949825571,0.9734265000466702,1.0124877257747285,1.0031865927416075
Australia,Australia,England,1.0164469027577367,0.9978280230497852,1.0124877257747285,1.0031865927416075
Australia,Australia,India,1.0273695530722664,0.9910563216921155,1.0124877257747285,1.0031865927416075
Australia,Australia,New Zealand,1.0259644915849668,1.0198717526423198,1.0124877257747285,1.0031865927416075
Australia,Australia,Pakistan,1.0282941789238733,0.989097886065064,1.0124877257747285,1.0031865927416075
Australia,Australia,Scotland,1.0205458680801909,1.004604813522246,1.0124877257747285,1.0031865927416075
Australia,Australia,South Africa,1.0264597286750052,1.0184426420940758,1.0124877257747285,1.0031865927416075
