name,playerid,nationality,dob,batstyle,bowlstyle,cricinfo_id
Mohammedi Simba,11532037,Tanzania,2006-09-30,Right-hand bat,Right-arm medium,8878668
Devdatta Natu,11532070,India,1996-09-18,Right-hand bat,Legbreak googly,1670570
Shivani Bishnoi,11512793,India,2004-08-06,Right-hand bat,Right-arm offbreak,158522
Mohsin Riaz,11506712,Pakistan,2000-06-08,Right-hand bat,Right-arm medium,5562117
Mario Albert,11512086,West Indies,1991-11-10,Right-hand bat,,124513
Aneisha Miller,11529163,West Indies,2006-10-14,Right-hand bat,Right-arm offbreak,7642797
Aaradhya Shukla,11506347,India,2004-12-06,Right-hand bat,Right-arm medium-fast,129374118
Zedan Mahomed,11529180,South Africa,2003-05-29,Right-hand bat,Right-arm fast,5608134
Gurtej Singh,11511119,India,2000-01-14,Right-hand bat,Right-arm medium,124119
Mohammad Tosif,11511190,United Arab Emirates,1989-08-27,Right-hand bat,,161924
Harry Swindells,11512996,England,1999-02-21,Right-hand bat,,177445
Rashid Ali,11512511,Malaysia,2000-03-29,Right-hand bat,,153594
Maina Narah,11512791,India,2001-12-13,Left-hand bat,,176041
Deimaphishisha Lamare,11512796,India,1996-01-02,Right-hand bat,,163643
Parishmita Baruah,11512800,India,2003-10-21,Left-hand bat,Legbreak,188133
O Neil Wright,11516628,West Indies,1989-09-12,Right-hand bat,,243204813
Hardikkumar Patel,11532164,Portugal,1985-04-28,Right-hand bat,Right-arm slow,1377679348
Abdul Malik,101075,Afghanistan,1998-03-11,Right-hand bat,Right-arm offbreak,1059030
Trevaun Williams,11516630,West Indies,2005-02-01,Right-hand bat,,384972677
Shahid Ali,2500236,Cyprus,1991-04-14,Right-hand bat,Right-arm medium,78192
Yousaf Arfan,11510970,Cyprus,1990-07-12,Right-hand bat,Right-arm fast,123843
Muhammad Khan,1600077,Bulgaria,1999-01-02,Right-hand bat,Right-arm slow,93016
Sadiq Khan,7503831,Pakistan,1989-11-09,Right-hand bat,Right-arm offbreak,824809
Zia Ur Rehman,11510971,Cyprus,1997-04-03,Right-hand bat,Right-arm fast,104996
S G Shrinithi,11531885,India,2005-10-18,Right-hand bat,Right-arm medium,3750682
Dashrath Chavan,11205109,India,2002-11-06,Right-hand bat,Right-arm offbreak,99759
Syed Naqvi,11511254,Italy,2002-01-02,Right-hand bat,Right-arm medium,333323
Mak Nayem,11532116,Portugal,1991-07-17,Right-hand bat,Right-arm medium,7163099
Vansh Bedi,11525201,India,2002-12-23,Right-hand bat,,7445296
Ekansh Dobal,11525198,India,1999-09-07,Left-hand bat,Right-arm offbreak,2305467
Carlton Takawira,11528442,Zimbabwe,2006-02-04,Right-hand bat,Right-arm bowler,2095387
Saneldo Willett,11500868,West Indies,1994-06-10,Right-hand bat,Right-arm medium,1383805
Clare Webber,11511081,Australia,2003-12-14,Right-hand bat,Right-arm fast,170058
Anmol Malhotra,4500242,India,1995-11-29,Right-hand bat,Right-arm offbreak,851259
Monil Patel,4509343,India,1990-05-05,Right-hand bat,Right-arm offbreak,500133
Muteeb Noman,11511154,Pakistan,1993-01-22,Right-hand bat,Right-arm medium,805554
Ronnie De Freitas,11510915,Cyprus,1987-08-16,Right-hand bat,Right-arm medium,123758
Peter Squires,11510914,Cyprus,1972-06-08,Right-hand bat,Right-arm medium,123756
Hrishita Basu,11203595,India,2004-01-30,Right-hand bat,Right-arm bowler,58994
Ana Katsuda,6400033,Mexico,2001-10-20,Right-hand bat,Right-arm medium,1203250
Tejaswini Batwal,11532069,India,2003-02-01,Right-hand bat,,6254047
Abdul Halim,100720,Afghanistan,1994-09-20,Left-hand bat,Slow left-arm orthodox,1015375
Amit Pandey,11500301,India,1989-07-16,Right-hand bat,Right-arm medium,86299
Thomas Draca,11511255,Italy,2000-10-23,Right-hand bat,Right-arm medium,240502
Hazratullah Zazai,100132,Afghanistan,1998-03-23,Left-hand bat,Slow left-arm orthodox,793457
Taj Mohammad,101033,Afghanistan,2002-06-12,Right-hand bat,,819425
Uzairullah Khamosh,11503572,Afghanistan,2005-07-10,Right-hand bat,,1361349
Bikash Khatri,11510918,Cyprus,1996-11-30,Right-hand bat,Right-arm medium,123787
Shyam Pandit,2500109,Cyprus,1999-04-18,Right-hand bat,Right-arm medium,341722
Nimesh Pradhan,11510921,Cyprus,1996-01-18,Right-hand bat,Right-arm medium,123803
Shyam Rawal,2500108,Cyprus,2000-11-25,Right-hand bat,Right-arm medium,341622
Rupesh Singh,2500111,Cyprus,2000-10-01,Right-hand bat,Right-arm medium,341742
Iswor Thapa,11510919,Cyprus,1997-09-25,Right-hand bat,Right-arm medium,123792
Junaid Rehman,11507969,India,1991-04-04,Right-hand bat,Right-arm medium,129374721
Aryan Mehra,11502888,India,2002-01-04,Right-hand bat,,100275
P Sugenthiran,4510818,India,1990-11-08,Left-hand bat,Right-arm medium-fast,1269874
Rajappa Raajkumar,4510812,India,1997-10-19,Right-hand bat,Legbreak,1269860
Mohammad Basit Ali,7503524,Pakistan,2000-12-25,Right-hand bat,,1186805
Chandran Suresh,4510825,India,1996-04-05,Right-hand bat,Right-arm medium,1270065
Bas de Leede,6900122,Netherlands,1999-11-15,Right-hand bat,Right-arm medium,1036191
Suvankar Bal,4510420,India,1995-11-03,Right-hand bat,Right-arm offbreak,1246486
Ashton Turner,401842,Australia,1993-01-25,Right-hand bat,Right-arm offbreak,500268
Ben Dwarshuis,401852,Australia,1994-06-23,Left-hand bat,Left-arm fast-medium,679567
Aryan Singh,11529480,India,2007-04-07,Right-hand bat,Right-arm fast,7307629
Alex Lees,3004669,England,1993-04-14,Left-hand bat,Legbreak,460756
Colin Ackermann,6900017,Netherlands,1991-04-04,Right-hand bat,Right-arm offbreak,379774
Asma Shifa,11506477,Estonia,1999-01-11,Right-hand bat,,8653244
Queen Joseph,11531888,Nigeria,2005-07-07,Right-hand bat,Right-arm medium,5699124
Raju Miah,801836,Bangladesh,1991-12-16,Right-hand bat,Right-arm medium,84758
George Drissell,3005314,England,1999-01-20,Right-hand bat,Right-arm offbreak,1012835
Henrietta Mbam,11531889,Nigeria,2006-08-28,Right-hand bat,Right-arm medium,8262694
Akash Kargave,11206553,India,1997-09-16,Left-hand bat,Slow left-arm orthodox,525912
Isaac Aboagye,3800057,Ghana,1995-12-27,Right-hand bat,Right-arm medium,346538
Danish Zulfiqar,11532119,Portugal,2005-12-24,Right-hand bat,Right-arm fast,3382518
Muhammad Adeel,11510975,Cyprus,2004-01-12,Right-hand bat,Right-arm slow,123829
Pritam Chakraborty,4504327,India,1994-09-16,Right-hand bat,Right-arm medium,705601
Darren Nedd,11201531,West Indies,1999-03-08,Right-hand bat,Right-arm medium,1108828
Savya Gajraj,11504373,India,1998-06-14,Right-hand bat,Right-arm slow,684978
Kumar Sanglimuthu,11529168,Kuwait,1994-01-08,Right-hand bat,Left-arm medium-fast,2998174
Riazul Islam,11510935,Cyprus,1996-12-03,Right-hand bat,Right-arm fast,123881
Towhidul Islam,11510938,Cyprus,1988-12-25,Right-hand bat,Right-arm slow,123885
Shawkat Khan,11510936,Cyprus,1998-01-01,Right-hand bat,Right-arm slow,123882
Saud Butt,11511217,United Arab Emirates,1991-07-27,,,128954
Biswajit Halder,11529482,India,2006-10-14,,,7522982
Donte Alexander,11511156,West Indies,2005-05-31,Right-hand bat,Right-arm fast,171248
Maret Valner,11506482,Estonia,1978-01-05,Right-hand bat,Left-arm medium,8653249
Christine McNally,3900203,Gibraltar,1981-04-16,Right-hand bat,,135229
Elizabeth Ferrary,3900202,Gibraltar,1994-09-20,Right-hand bat,Right-arm medium,135228
Naveed Obaid,100953,Afghanistan,2000-08-28,Right-hand bat,,913841
Harnoor Singh,4511417,India,2003-01-30,Left-hand bat,Legbreak,1292496
Munindra,4511059,India,1996-09-20,Left-hand bat,Slow left-arm orthodox,1252539
IshikaKumar,11507597,India,2001-07-18,Right-hand bat,,2874952
KhayaSibanda,11401061,Zimbabwe,2001-12-30,Right-hand bat,Right-arm medium,97644
TabokaManyalo,11401062,Zimbabwe,2003-02-18,Left-hand bat,Legbreak googly,97637
TinotendaMaphos,11401063,Zimbabwe,2003-06-29,Right-hand bat,Right-arm medium,97645
TinotendaMaphosa,11401064,Zimbabwe,2003-06-29,Right-hand bat,Right-arm medium,97658
Favour Effiong,11531890,Nigeria,2008-06-13,Right-hand bat,Right-arm medium,1658760
Azhar Andani,8000044,Portugal,1994-02-04,Right-hand bat,Right-arm medium-fast,1274037
VitalisBuwu,11401065,Zimbabwe,1993-07-13,Right-hand bat,Right-arm medium,97636
Aman Singh Shekhawat,11504383,India,2000-10-05,Right-hand bat,Right-arm medium-fast,129373602
Akbar Ali,100757,Afghanistan,2001-07-08,Right-hand bat,,1196227
Hamauth Ramauth,11511157,West Indies,1981-06-26,,,171249
Badal Mahedi,11510925,Cyprus,2001-03-02,Right-hand bat,Right-arm fast,123841
Shawon Molla,11510937,Cyprus,1997-12-02,Right-hand bat,Right-arm fast,123883
Mobaswir Rahman,11510934,Cyprus,1996-05-04,Right-hand bat,Right-arm slow,123880
Muhammad Nabeel,11507401,Pakistan,2005-06-15,Right-hand bat,Right-arm slow,6326498
Mohammed Sadekur Rahman,11510933,Cyprus,1999-10-10,Right-hand bat,Right-arm fast,123879
GursewanSingh,11501016,Austria,1996-09-27,Right-hand bat,Right-arm offbreak,2353615
PrafullomaniSingh,11502326,India,1994-03-01,Right-hand bat,,9632122
Badrul Haydar,801953,Bangladesh,1997-01-02,Right-hand bat,,129371888
Saumy Kumar Pandey,11203945,India,2004-11-04,,,1257844
Julia Anson,3900199,Gibraltar,2006-10-06,Right-hand bat,Right-arm medium-fast,135225
Saika Ishaque,11204455,India,1995-10-08,Left-hand bat,Slow left-arm orthodox,1910707
Md Rasel,11511158,Bangladesh,2002-11-27,Right-hand bat,Right-arm fast,123814
Bashir Miah,11510926,Cyprus,1991-07-10,Right-hand bat,Right-arm fast,123845
Amanjot Kaur,11204154,India,2000-01-01,Right-hand bat,Right-arm medium-fast,1255411
Rana Hamza,11507968,India,2001-06-01,Right-hand bat,Right-arm medium,129374720
Mohammed Najim Ahmed,11510932,Cyprus,2002-10-10,Right-hand bat,Right-arm slow,123878
Harshit Prashar,11503265,India,2004-07-17,Right-hand bat,Right-arm offbreak,243206
Faisal Mushtaq,8000109,Portugal,1987-09-12,Right-hand bat,Right-arm medium,597404
Shourya Desai,11205070,India,2006-07-22,Right-hand bat,,185060
Khalid Usman,9900096,Sweden,1991-11-28,Right-hand bat,Right-arm slow,1268889
Tariq Mahmood,7501328,Pakistan,1985-04-22,Right-hand bat,Right-arm offbreak,43484
Shubham Kadam,11511112,India,1995-03-07,,,75128
Rayhan Sarker,11511159,Bangladesh,1995-11-04,Right-hand bat,Right-arm offbreak,123819
