ord,totalInningWickets,inningBallsRemaining,predictedBallsFacedToCome,R19,inningNumber,fxbRunsAdjustRatio,fxbWktsAdjustRatio
0.0,8.0,1.0,1.0,0,1,1.0,1.0
0.0,8.0,1.0,1.0,0,2,1.0,1.0
0.0,8.0,1.0,1.0,1,1,1.0,1.0
0.0,8.0,1.0,1.0,1,2,1.0,1.0
0.0,8.0,1.0,1.0,2,1,1.0,1.0
0.0,8.0,1.0,1.0,2,2,1.0,1.0
0.0,8.0,1.0,1.0,3,1,1.0,1.0
0.0,8.0,1.0,1.0,3,2,1.0,1.0
0.0,8.0,1.0,1.0,4,1,1.0,1.0
0.0,8.0,1.0,1.0,4,2,1.0,1.0
0.0,8.0,1.0,1.0,5,1,1.0,1.0
0.0,8.0,1.0,1.0,5,2,1.0,1.0
0.0,8.0,1.0,1.0,6,1,1.0,1.0
0.0,8.0,1.0,1.0,6,2,1.0,1.0
0.0,8.0,1.0,1.0,7,1,1.0,1.0
0.0,8.0,1.0,1.0,7,2,1.0,1.0
0.0,8.0,1.0,1.0,8,1,1.0,1.0
0.0,8.0,1.0,1.0,8,2,1.0,1.0
0.0,8.0,1.0,1.0,9,1,1.0,1.0
0.0,8.0,1.0,1.0,9,2,1.0,1.0
0.0,8.0,1.0,1.0,10,1,1.0,1.0
0.0,8.0,1.0,1.0,10,2,1.0,1.0
1.0,1.0,1.0,2.101491026794796,0,1,1.0,1.0
1.0,1.0,1.0,2.101491026794796,0,2,1.0,1.0
1.0,1.0,1.0,2.101491026794796,1,1,1.0,1.0
1.0,1.0,1.0,2.101491026794796,1,2,1.0,1.0
1.0,1.0,1.0,2.101491026794796,2,1,1.0,1.0
1.0,1.0,1.0,2.101491026794796,2,2,1.0,1.0
1.0,1.0,1.0,2.101491026794796,3,1,1.0,1.0
1.0,1.0,1.0,2.101491026794796,3,2,1.0,1.0
1.0,1.0,1.0,2.101491026794796,4,1,1.0,1.0
1.0,1.0,1.0,2.101491026794796,4,2,1.0,1.0
1.0,1.0,1.0,2.101491026794796,5,1,1.0,1.0
1.0,1.0,1.0,2.101491026794796,5,2,1.0,1.0
1.0,1.0,1.0,2.101491026794796,6,1,1.0,1.0
1.0,1.0,1.0,2.101491026794796,6,2,1.0,1.0
1.0,1.0,1.0,2.101491026794796,7,1,1.0,1.0
1.0,1.0,1.0,2.101491026794796,7,2,1.0,1.0
1.0,1.0,1.0,2.101491026794796,8,1,1.0,1.0
1.0,1.0,1.0,2.101491026794796,8,2,1.0,1.0
1.0,1.0,1.0,2.101491026794796,9,1,1.0,1.0
1.0,1.0,1.0,2.101491026794796,9,2,1.0,1.0
1.0,1.0,1.0,2.101491026794796,10,1,1.0,1.0
1.0,1.0,1.0,2.101491026794796,10,2,1.0,1.0
1.0,2.0,1.0,2.9411262634573765,0,1,1.0,1.0
1.0,2.0,1.0,2.9411262634573765,0,2,1.0,1.0
1.0,2.0,1.0,2.9411262634573765,1,1,1.0,1.0
1.0,2.0,1.0,2.9411262634573765,1,2,1.0,1.0
1.0,2.0,1.0,2.9411262634573765,2,1,1.0,1.0
1.0,2.0,1.0,2.9411262634573765,2,2,1.0,1.0
1.0,2.0,1.0,2.9411262634573765,3,1,1.0,1.0
1.0,2.0,1.0,2.9411262634573765,3,2,1.0,1.0
1.0,2.0,1.0,2.9411262634573765,4,1,1.0,1.0
1.0,2.0,1.0,2.9411262634573765,4,2,1.0,1.0
1.0,2.0,1.0,2.9411262634573765,5,1,1.0,1.0
1.0,2.0,1.0,2.9411262634573765,5,2,1.0,1.0
1.0,2.0,1.0,2.9411262634573765,6,1,1.0,1.0
1.0,2.0,1.0,2.9411262634573765,6,2,1.0,1.0
1.0,2.0,1.0,2.9411262634573765,7,1,1.0,1.0
1.0,2.0,1.0,2.9411262634573765,7,2,1.0,1.0
1.0,2.0,1.0,2.9411262634573765,8,1,1.0,1.0
1.0,2.0,1.0,2.9411262634573765,8,2,1.0,1.0
1.0,2.0,1.0,2.9411262634573765,9,1,1.0,1.0
1.0,2.0,1.0,2.9411262634573765,9,2,1.0,1.0
1.0,2.0,1.0,2.9411262634573765,10,1,1.0,1.0
1.0,2.0,1.0,2.9411262634573765,10,2,1.0,1.0
1.0,3.0,1.0,4.126852131638881,0,1,1.0,1.0
1.0,3.0,1.0,4.126852131638881,0,2,1.0,1.0
1.0,3.0,1.0,4.126852131638881,1,1,1.0,1.0
1.0,3.0,1.0,4.126852131638881,1,2,1.0,1.0
1.0,3.0,1.0,4.126852131638881,2,1,1.0,1.0
1.0,3.0,1.0,4.126852131638881,2,2,1.0,1.0
1.0,3.0,1.0,4.126852131638881,3,1,1.0,1.0
1.0,3.0,1.0,4.126852131638881,3,2,1.0,1.0
1.0,3.0,1.0,4.126852131638881,4,1,1.0,1.0
1.0,3.0,1.0,4.126852131638881,4,2,1.0,1.0
1.0,3.0,1.0,4.126852131638881,5,1,1.0,1.0
1.0,3.0,1.0,4.126852131638881,5,2,1.0,1.0
1.0,3.0,1.0,4.126852131638881,6,1,1.0,1.0
1.0,3.0,1.0,4.126852131638881,6,2,1.0,1.0
1.0,3.0,1.0,4.126852131638881,7,1,1.0,1.0
1.0,3.0,1.0,4.126852131638881,7,2,1.0,1.0
1.0,3.0,1.0,4.126852131638881,8,1,1.0,1.0
1.0,3.0,1.0,4.126852131638881,8,2,1.0,1.0
1.0,3.0,1.0,4.126852131638881,9,1,1.0,1.0
1.0,3.0,1.0,4.126852131638881,9,2,1.0,1.0
1.0,3.0,1.0,4.126852131638881,10,1,1.0,1.0
1.0,3.0,1.0,4.126852131638881,10,2,1.0,1.0
1.0,4.0,1.0,1.7439941949533235,0,1,1.0,1.0
1.0,4.0,1.0,1.7439941949533235,0,2,1.0,1.0
1.0,4.0,1.0,1.7439941949533235,1,1,1.0,1.0
1.0,4.0,1.0,1.7439941949533235,1,2,1.0,1.0
1.0,4.0,1.0,1.7439941949533235,2,1,1.0,1.0
1.0,4.0,1.0,1.7439941949533235,2,2,1.0,1.0
1.0,4.0,1.0,1.7439941949533235,3,1,1.0,1.0
1.0,4.0,1.0,1.7439941949533235,3,2,1.0,1.0
1.0,4.0,1.0,1.7439941949533235,4,1,1.0,1.0
