inningBallsRemainingOriginal,inningBallsRemaining,totalInningWickets,mean_hundred,count_hundred,mean_t20,count_t20,ratio_hundred_vs_t20,ratio_pred_constrained,mean_hundred_adj
1.0,1.0,3,1.2566171049098118,9,1.7887034674037698,73,0.7025295851490355,0.8529359175632631,1.4732843101505422
1.0,1.0,4,0.9841619480201558,22,1.693976204041512,120,0.5809774338459587,0.8529359175632631,1.1538521567151139
1.0,1.0,5,1.2216990734090138,29,1.6971274031699095,170,0.719862911368418,0.8529359175632631,1.4323456759791091
1.0,1.0,6,1.129563452634542,31,1.6819655663854607,179,0.6715734704735785,0.8529359175632631,1.3243239373264653
1.0,1.0,7,0.8877171328732856,18,1.5343473021637193,148,0.5785633615162857,0.8529359175632631,1.0407782279932452
1.0,1.0,8,0.5169961260072115,15,1.4929880446528323,120,0.3462828305014523,0.8529359175632631,0.6061371263203549
1.0,1.0,9,1.5569216549941451,12,1.4486400541707924,103,1.074747070890107,0.8529359175632631,1.8253676776118022
2.0,2.0,3,3.5379657890117504,8,4.173513145051165,74,0.8477188560450496,0.8539494259565568,4.143062436102321
2.0,2.0,4,2.6932153387800297,24,3.416091926376055,123,0.7883907684056718,0.8539494259565568,3.153834708376562
2.0,2.0,5,2.4431987126966765,35,3.0949326876279013,187,0.7894190146569089,0.8539494259565568,2.8610578547551717
2.0,2.0,6,2.5800645018273616,32,3.3219544546995787,173,0.7766706428432024,0.8539494259565568,3.0213317362878795
2.0,2.0,7,1.7018594318016962,17,3.0418854468483683,148,0.559475187852638,0.8539494259565568,1.9929276606695387
2.0,2.0,8,1.77180931658464,16,2.8123075120144647,125,0.6300197645582106,0.8539494259565568,2.0748410417864465
2.0,2.0,9,2.556393348047597,10,2.691431785479257,91,0.949826542823706,0.8539494259565568,2.9936121160618345
3.0,3.0,2,4.591377187028798,7,6.1387786449329615,30,0.747930077397169,0.8549629343498504,5.37026460745959
3.0,3.0,3,7.018097676158007,7,5.260981885467919,79,1.3339900856803288,0.8549629343498504,8.208657234357021
3.0,3.0,4,4.314387625527656,27,5.222287479820051,130,0.8261490088776807,0.8549629343498504,5.046286163046936
3.0,3.0,5,3.972899580806466,35,4.800346771544573,208,0.8276276214787155,0.8549629343498504,4.646867625703125
3.0,3.0,6,3.9484666340558614,32,4.9943501461303,157,0.7905866666387408,0.8549629343498504,4.618289840902215
3.0,3.0,7,2.91668490994953,16,4.524991459909829,149,0.6445724673274082,0.8549629343498504,3.411475273097657
3.0,3.0,8,3.916728106439934,10,4.055462442227298,123,0.9657907482158387,0.8549629343498504,4.581167146641717
3.0,3.0,9,4.167018226235835,10,3.4785559583495496,83,1.1979161112052188,0.8549629343498504,4.873916820036895
4.0,4.0,2,6.684968788920866,8,7.6908947522214515,33,0.8692056001663484,0.855976442743144,7.809757903497409
4.0,4.0,3,9.097223436141721,8,7.330329720683362,87,1.2410387776245408,0.855976442743144,10.627889953358867
4.0,4.0,4,5.771690807817925,27,7.122312672705798,132,0.8103675130602255,0.855976442743144,6.7428150117325805
4.0,4.0,5,5.523656660564541,40,6.100074011322472,213,0.9055064988247632,0.855976442743144,6.453047519465492
4.0,4.0,6,5.361679776351726,29,6.666482373676332,153,0.8042741997673575,0.855976442743144,6.263816979786469
4.0,4.0,7,3.9091482433884366,14,6.169566768978348,169,0.6336179491636774,0.855976442743144,4.566887648053498
4.0,4.0,8,4.319665726504067,12,5.138785780646524,110,0.8406004668987387,0.855976442743144,5.046477345405504
4.0,4.0,9,4.6541433114638275,9,4.2959044574962775,81,1.083390787088486,0.855976442743144,5.4372329413046865
5.0,5.0,2,9.439857266892805,7,9.68001677473882,33,0.9751901764806088,0.8569899511364376,11.01513180449175
5.0,5.0,3,10.019246136023064,8,9.140510013664708,93,1.0961364432668068,0.8569899511364376,11.691206090265979
5.0,5.0,4,7.086375503547909,31,8.974700850207425,139,0.7895946195670831,0.8569899511364376,8.26891318171328
5.0,5.0,5,7.503116924593411,40,7.720348023604541,215,0.971862525064031,0.8569899511364376,8.755198254826295
5.0,5.0,6,7.234074932345114,28,7.899994059905076,154,0.9157063761680899,0.8569899511364376,8.441259926971313
5.0,5.0,7,4.887832035831902,17,7.524774179226246,157,0.6495652785602273,0.8569899511364376,5.703488155666521
