ord,over,ballsFaced,fxbRunscurve,fxbWktscurve,slwRunscurve,slwWktscurve
2,3,1,0.6003744,0.936279575,0.963212608,0.807983741
2,3,2,0.731874456,1.020682422,0.974319069,0.959264747
2,3,3,0.831170183,1.089910793,0.986882661,1.047970274
2,3,4,0.903333358,1.145875371,0.999713763,1.084203541
2,3,5,0.953048319,1.190331092,1.011821295,1.084203541
2,3,6,1.047688561,1.039272487,1.032901702,1.038637705
2,3,7,1.059484139,1.061400456,1.041470013,1.038637705
2,3,8,1.059484139,1.077437645,1.047507037,1.038637705
2,3,9,1.059484139,1.079005938,1.050813829,1.038637705
2,3,10,1.059484139,1.079005938,1.051392017,1.038637705
2,3,11,1.059484139,1.079005938,1.049443807,1.038637705
2,3,12,1.059484139,1.079005938,1.045371982,1.038637705
2,3,13,1.059484139,1.079005938,1.039779897,1.038637705
2,3,14,1.059484139,1.079005938,1.033471486,1.038637705
2,3,15,1.059484139,1.079005938,1.027451258,1.038637705
2,3,16,1.059484139,1.079005938,1.022924298,1.038637705
2,3,17,1.059484139,1.079005938,1.021296265,1.038637705
2,3,18,1.059484139,1.079005938,1.024173395,1.038637705
2,3,19,1.059484139,1.079005938,1.033362501,1.038637705
2,3,20,1.059484139,1.079005938,1.050870971,1.038637705
2,3,21,1.059484139,1.079005938,1.078906768,1.038637705
2,4,1,0.574854083,0.919032899,0.928455835,0.780674415
2,4,2,0.700764422,1.001881009,0.939161528,0.926842221
2,4,3,0.795839353,1.069834163,0.951271772,1.012549558
2,4,4,0.864935064,1.124767849,0.963639874,1.047558164
2,4,5,0.912536774,1.168404677,0.975310515,1.047558164
2,4,6,1.003154111,1.020128638,0.995630253,1.003532423
2,4,7,1.014448291,1.041848999,1.003889383,1.003532423
2,4,8,1.014448291,1.057590777,1.009708566,1.003532423
2,4,9,1.014448291,1.059130181,1.012896034,1.003532423
2,4,10,1.014448291,1.059130181,1.013453358,1.003532423
2,4,11,1.014448291,1.059130181,1.011575449,1.003532423
2,4,12,1.014448291,1.059130181,1.007650552,1.003532423
2,4,13,1.014448291,1.059130181,1.002260253,1.003532423
2,4,14,1.014448291,1.059130181,0.996179476,1.003532423
2,4,15,1.014448291,1.059130181,0.990376484,1.003532423
2,4,16,1.014448291,1.059130181,0.986012875,1.003532423
2,4,17,1.014448291,1.059130181,0.984443588,1.003532423
2,4,18,1.014448291,1.059130181,0.9872169,1.003532423
2,4,19,1.014448291,1.059130181,0.996074424,1.003532423
2,4,20,1.014448291,1.059130181,1.012951114,1.003532423
2,4,21,1.014448291,1.059130181,1.039975261,1.003532423
2,5,1,0.560666061,0.900221273,0.928915405,0.781381168
2,5,2,0.683468796,0.98137357,0.939626396,0.927681301
2,5,3,0.776197174,1.047935796,0.951742635,1.01346623
2,5,4,0.843587528,1.101745048,0.964116859,1.04850653
2,5,5,0.890014376,1.144488675,0.975793277,1.04850653
2,5,6,0.978395179,0.999247689,0.996123072,1.004440932
2,5,7,1,1.020523458,1.004386291,1.004440932
2,5,8,1,1.035943018,1.010208354,1.004440932
2,5,9,1,1.037450912,1.0133974,1.004440932
2,5,10,1,1.037450912,1.013955,1.004440932
2,5,11,1,1.037450912,1.012076161,1.004440932
2,5,12,1,1.037450912,1.008149321,1.004440932
2,5,13,1,1.037450912,1.002756354,1.004440932
2,5,14,1,1.037450912,0.996672568,1.004440932
2,5,15,1,1.037450912,0.990866703,1.004440932
2,5,16,1,1.037450912,0.986500934,1.004440932
2,5,17,1,1.037450912,0.98493087,1.004440932
2,5,18,1,1.037450912,0.987705555,1.004440932
2,5,19,1,1.037450912,0.996567464,1.004440932
2,5,20,1,1.037450912,1.013452507,1.004440932
2,5,21,1,1.037450912,1.040490031,1.004440932
2,6,1,0.550748689,0.885900336,0.911408915,0.783005114
2,6,2,0.671379221,0.965761643,0.921918045,0.929609304
2,6,3,0.762467368,1.031264981,0.933805939,1.01557252
2,6,4,0.828665684,1.084218222,0.945946957,1.050685644
2,6,5,0.874271309,1.126281874,0.957403319,1.050685644
2,6,6,0.961088783,0.983351416,0.977349976,1.006528465
2,6,7,1,1.004288725,0.985457464,1.006528465
2,6,8,1,1.019462987,0.991169804,1.006528465
2,6,9,1,1.020946894,0.994298748,1.006528465
2,6,10,1,1.020946894,0.99484584,1.006528465
2,6,11,1,1.020946894,0.99300241,1.006528465
2,6,12,1,1.020946894,0.989149576,1.006528465
2,6,13,1,1.020946894,0.983858246,1.006528465
2,6,14,1,1.020946894,0.977889116,1.006528465
2,6,15,1,1.020946894,0.972192669,1.006528465
2,6,16,1,1.020946894,0.967909178,1.006528465
2,6,17,1,1.020946894,0.966368704,1.006528465
2,6,18,1,1.020946894,0.969091096,1.006528465
2,6,19,1,1.020946894,0.977785992,1.006528465
2,6,20,1,1.020946894,0.994352818,1.006528465
2,6,21,1,1.020946894,1.020880787,1.006528465
3,3,1,0.677541091,0.750014661,1.049586247,0.888407794
3,3,2,0.825942974,0.817626275,1.061688651,1.054746815
3,3,3,0.938001276,0.873082246,1.075378851,1.152281799
3,3,4,1.019439652,0.917913144,1.08936055,1.192121607
3,3,5,1.075544524,0.953524775,1.102553794,1.192121607
3,3,6,1.168572524,1.048001779,1.065475901,1.026406224
3,3,7,1.181729094,1.070315609,1.074314427,1.026406224
3,3,8,1.181729094,1.086487502,1.080541838,1.026406224
3,3,9,1.181729094,1.088068968,1.083952914,1.026406224
3,3,10,1.181729094,1.088068968,1.084549337,1.026406224
3,3,11,1.181729094,1.088068968,1.082539687,1.026406224
3,3,12,1.181729094,1.088068968,1.07833945,1.026406224
3,3,13,1.181729094,1.088068968,1.07257101,1.026406224
3,3,14,1.181729094,1.088068968,1.066063654,1.026406224
3,3,15,1.181729094,1.088068968,1.059853568,1.026406224
3,3,16,1.181729094,1.088068968,1.055183843,1.026406224
3,3,17,1.181729094,1.088068968,1.053504467,1.026406224
3,3,18,1.181729094,1.088068968,1.056472333,1.026406224
3,3,19,1.181729094,1.088068968,1.065951232,1.026406224
3,3,20,1.181729094,1.088068968,1.084011859,1.026406224
3,3,21,1.181729094,1.088068968,1.112931809,1.026406224
3,4,1,0.648740624,0.736199066,1.011712749,0.858380186
