inningBallNumber,inningBallsRemaining,totalInningWickets,maxRunsRequired
120,1,0,6
119,2,0,12
118,3,0,18
117,4,0,24
116,5,0,30
115,6,0,36
114,7,0,42
113,8,0,42
112,9,0,48
111,10,0,48
110,11,0,54
109,12,0,54
108,13,0,60
107,14,0,60
106,15,0,60
105,16,0,70
104,17,0,70
103,18,0,70
102,19,0,80
101,20,0,80
100,21,0,80
99,22,0,90
98,23,0,90
97,24,0,90
96,25,0,100
95,26,0,100
94,27,0,100
93,28,0,100
92,29,0,100
91,30,0,100
90,31,0,120
89,32,0,120
88,33,0,120
87,34,0,120
86,35,0,120
85,36,0,120
84,37,0,135
83,38,0,135
82,39,0,135
81,40,0,135
80,41,0,135
79,42,0,135
78,43,0,150
77,44,0,150
76,45,0,150
75,46,0,150
74,47,0,150
73,48,0,150
72,49,0,165
71,50,0,165
70,51,0,165
69,52,0,165
68,53,0,165
67,54,0,165
66,55,0,180
65,56,0,180
64,57,0,180
63,58,0,180
62,59,0,180
61,60,0,180
60,61,0,192
59,62,0,192
58,63,0,192
57,64,0,192
56,65,0,192
55,66,0,192
54,67,0,204
53,68,0,204
52,69,0,204
51,70,0,204
50,71,0,204
49,72,0,204
48,73,0,216
47,74,0,216
46,75,0,216
45,76,0,216
44,77,0,216
43,78,0,216
42,79,0,228
41,80,0,228
40,81,0,228
39,82,0,228
38,83,0,228
37,84,0,228
36,85,0,240
35,86,0,240
34,87,0,240
33,88,0,240
32,89,0,240
31,90,0,240
30,91,0,252
29,92,0,252
28,93,0,252
27,94,0,252
26,95,0,252
25,96,0,252
24,97,0,264
23,98,0,264
22,99,0,264
21,100,0,264
20,101,0,264
19,102,0,264
18,103,0,276
17,104,0,276
16,105,0,276
15,106,0,276
14,107,0,276
13,108,0,276
12,109,0,288
11,110,0,288
10,111,0,288
9,112,0,288
8,113,0,288
7,114,0,288
6,115,0,300
5,116,0,300
4,117,0,300
3,118,0,300
2,119,0,300
1,120,0,300
120,1,1,6
119,2,1,12
118,3,1,18
117,4,1,24
116,5,1,30
115,6,1,36
114,7,1,42
113,8,1,42
112,9,1,48
111,10,1,48
110,11,1,54
109,12,1,54
108,13,1,60
107,14,1,60
106,15,1,60
105,16,1,70
104,17,1,70
103,18,1,70
102,19,1,80
101,20,1,80
100,21,1,80
99,22,1,90
98,23,1,90
97,24,1,90
96,25,1,100
95,26,1,100
94,27,1,100
93,28,1,100
92,29,1,100
91,30,1,100
90,31,1,120
89,32,1,120
88,33,1,120
87,34,1,120
86,35,1,120
85,36,1,120
84,37,1,135
83,38,1,135
82,39,1,135
81,40,1,135
80,41,1,135
79,42,1,135
78,43,1,150
77,44,1,150
76,45,1,150
75,46,1,150
74,47,1,150
73,48,1,150
72,49,1,165
71,50,1,165
70,51,1,165
69,52,1,165
68,53,1,165
67,54,1,165
66,55,1,180
65,56,1,180
64,57,1,180
63,58,1,180
62,59,1,180
61,60,1,180
60,61,1,192
59,62,1,192
58,63,1,192
57,64,1,192
56,65,1,192
55,66,1,192
54,67,1,204
53,68,1,204
52,69,1,204
51,70,1,204
50,71,1,204
49,72,1,204
48,73,1,216
47,74,1,216
46,75,1,216
45,76,1,216
44,77,1,216
43,78,1,216
42,79,1,228
41,80,1,228
40,81,1,228
39,82,1,228
38,83,1,228
37,84,1,228
36,85,1,240
35,86,1,240
34,87,1,240
33,88,1,240
32,89,1,240
31,90,1,240
30,91,1,252
29,92,1,252
28,93,1,252
27,94,1,252
26,95,1,252
25,96,1,252
24,97,1,264
23,98,1,264
22,99,1,264
21,100,1,264
20,101,1,264
19,102,1,264
18,103,1,276
17,104,1,276
16,105,1,276
15,106,1,276
14,107,1,276
13,108,1,276
12,109,1,288
11,110,1,288
10,111,1,288
9,112,1,288
8,113,1,288
7,114,1,288
6,115,1,300
5,116,1,300
4,117,1,300
3,118,1,300
2,119,1,300
1,120,1,300
120,1,2,6
119,2,2,12
118,3,2,18
117,4,2,24
116,5,2,30
115,6,2,36
114,7,2,42
113,8,2,42
112,9,2,48
111,10,2,48
110,11,2,54
109,12,2,54
108,13,2,60
107,14,2,60
106,15,2,60
105,16,2,70
104,17,2,70
103,18,2,70
102,19,2,80
101,20,2,80
100,21,2,80
99,22,2,90
98,23,2,90
97,24,2,90
96,25,2,100
95,26,2,100
94,27,2,100
93,28,2,100
92,29,2,100
91,30,2,100
90,31,2,120
89,32,2,120
88,33,2,120
87,34,2,120
86,35,2,120
85,36,2,120
84,37,2,135
83,38,2,135
82,39,2,135
81,40,2,135
80,41,2,135
79,42,2,135
78,43,2,150
77,44,2,150
76,45,2,150
75,46,2,150
74,47,2,150
73,48,2,150
72,49,2,165
71,50,2,165
70,51,2,165
69,52,2,165
68,53,2,165
67,54,2,165
66,55,2,180
65,56,2,180
64,57,2,180
63,58,2,180
62,59,2,180
61,60,2,180
60,61,2,192
59,62,2,192
58,63,2,192
57,64,2,192
56,65,2,192
55,66,2,192
54,67,2,204
53,68,2,204
52,69,2,204
51,70,2,204
50,71,2,204
49,72,2,204
48,73,2,216
47,74,2,216
46,75,2,216
45,76,2,216
44,77,2,216
43,78,2,216
42,79,2,228
41,80,2,228
40,81,2,228
39,82,2,228
38,83,2,228
37,84,2,228
36,85,2,240
35,86,2,240
34,87,2,240
33,88,2,240
32,89,2,240
31,90,2,240
30,91,2,252
29,92,2,252
28,93,2,252
27,94,2,252
26,95,2,252
25,96,2,252
24,97,2,264
23,98,2,264
22,99,2,264
21,100,2,264
20,101,2,264
19,102,2,264
18,103,2,276
17,104,2,276
16,105,2,276
15,106,2,276
14,107,2,276
13,108,2,276
12,109,2,288
11,110,2,288
10,111,2,288
9,112,2,288
8,113,2,288
7,114,2,288
6,115,2,300
5,116,2,300
4,117,2,300
3,118,2,300
2,119,2,300
1,120,2,300
120,1,3,6
119,2,3,12
118,3,3,18
117,4,3,24
116,5,3,30
115,6,3,36
114,7,3,42
113,8,3,42
112,9,3,48
111,10,3,48
110,11,3,54
109,12,3,54
108,13,3,60
107,14,3,60
106,15,3,60
105,16,3,70
104,17,3,70
103,18,3,70
102,19,3,80
101,20,3,80
100,21,3,80
99,22,3,90
98,23,3,90
97,24,3,90
96,25,3,100
95,26,3,100
94,27,3,100
93,28,3,100
92,29,3,100
91,30,3,100
90,31,3,120
89,32,3,120
88,33,3,120
87,34,3,120
86,35,3,120
85,36,3,120
84,37,3,135
83,38,3,135
82,39,3,135
81,40,3,135
80,41,3,135
79,42,3,135
78,43,3,150
77,44,3,150
76,45,3,150
75,46,3,150
74,47,3,150
73,48,3,150
72,49,3,165
71,50,3,165
70,51,3,165
69,52,3,165
68,53,3,165
67,54,3,165
66,55,3,180
65,56,3,180
64,57,3,180
63,58,3,180
62,59,3,180
61,60,3,180
60,61,3,192
59,62,3,192
58,63,3,192
57,64,3,192
56,65,3,192
55,66,3,192
54,67,3,204
53,68,3,204
52,69,3,204
51,70,3,204
50,71,3,204
49,72,3,204
48,73,3,216
47,74,3,216
46,75,3,216
45,76,3,216
44,77,3,216
43,78,3,216
42,79,3,228
41,80,3,228
