nationality,host_2,host,run_factor,wkt_factor,all_away_runs_factor,all_away_wkts_factor
Afghanistan,United Arab Emirates,Australia,0.9427173000416719,1.0336213624094215,0.9901479781251568,1.0044714252980862
Afghanistan,United Arab Emirates,Bangladesh,0.930835802220354,1.0,0.9901479781251568,1.0044714252980862
Afghanistan,United Arab Emirates,England,0.9622326980454249,1.0,0.9901479781251568,1.0044714252980862
Afghanistan,United Arab Emirates,India,0.9335893615704648,1.0650185450461918,0.9901479781251568,1.0044714252980862
Afghanistan,United Arab Emirates,Ireland,0.9496530349123177,1.002206848483666,0.9901479781251568,1.0044714252980862
Afghanistan,United Arab Emirates,Scotland,0.9501787461733867,1.0,0.9901479781251568,1.0044714252980862
Afghanistan,United Arab Emirates,Sri Lanka,0.9277227848674982,1.0383065113178576,0.9901479781251568,1.0044714252980862
Afghanistan,United Arab Emirates,United Arab Emirates,1.0,1.0,0.9901479781251568,1.0044714252980862
Afghanistan,United Arab Emirates,West Indies,0.9442996387069261,1.078280165288495,0.9901479781251568,1.0044714252980862
Afghanistan,United Arab Emirates,Zimbabwe,0.9452561144539224,1.0,0.9901479781251568,1.0044714252980862
Australia,Australia,Australia,1.0,1.0,0.9901479781251565,1.0044714252980862
Australia,Australia,Bangladesh,0.9663917274014633,1.009815633281254,0.9901479781251565,1.0044714252980862
Australia,Australia,England,0.9764159068223613,1.0,0.9901479781251565,1.0044714252980862
Australia,Australia,India,0.9788310226718469,1.0738655161882855,0.9901479781251565,1.0044714252980862
Australia,Australia,Netherlands,0.9831978218410022,1.0,0.9901479781251565,1.0044714252980862
Australia,Australia,New Zealand,0.9851234172790811,1.0,0.9901479781251565,1.0044714252980862
Australia,Australia,Oman,0.9726876445015199,1.0079756912547124,0.9901479781251565,1.0044714252980862
Australia,Australia,Pakistan,0.9765374033185582,1.0064126218516278,0.9901479781251565,1.0044714252980862
Australia,Australia,Scotland,0.9821748456864307,1.0,0.9901479781251565,1.0044714252980862
Australia,Australia,South Africa,0.9900082543651691,1.0,0.9901479781251565,1.0044714252980862
Australia,Australia,Sri Lanka,0.9774874615247854,1.0,0.9901479781251565,1.0044714252980862
Australia,Australia,United Arab Emirates,0.9675616864505471,1.019285183416804,0.9901479781251565,1.0044714252980862
Australia,Australia,West Indies,0.9889215116440195,1.0945139057488467,0.9901479781251565,1.0044714252980862
Australia,Australia,Zimbabwe,0.9817568466093745,1.0,0.9901479781251565,1.0044714252980862
Bangladesh,Bangladesh,Australia,0.9481751726044144,1.0827170088524911,0.9901479781251566,1.0044714252980862
Bangladesh,Bangladesh,Bangladesh,1.0,1.0,0.9901479781251566,1.0044714252980862
Bangladesh,Bangladesh,England,0.9641935371346675,1.0498269453782787,0.9901479781251566,1.0044714252980862
Bangladesh,Bangladesh,India,0.9431289438159972,1.0701202422666864,0.9901479781251566,1.0044714252980862
Bangladesh,Bangladesh,New Zealand,0.9555897890722572,1.0662158125984598,0.9901479781251566,1.0044714252980862
Bangladesh,Bangladesh,Oman,0.9518744682894392,1.0138976359869147,0.9901479781251566,1.0044714252980862
Bangladesh,Bangladesh,Pakistan,0.9554172668648565,1.0065950523260052,0.9901479781251566,1.0044714252980862
Bangladesh,Bangladesh,South Africa,0.9669011751932692,1.0339248450658043,0.9901479781251566,1.0044714252980862
Bangladesh,Bangladesh,Sri Lanka,0.9597592296414917,1.0293434784026332,0.9901479781251566,1.0044714252980862
Bangladesh,Bangladesh,United Arab Emirates,0.971861895351504,1.0,0.9901479781251566,1.0044714252980862
