balls_bowled_career,runs_weight_curve,wkts_weight_curve
0,0,0
1,0.000741264,0.000717555
2,0.001481978,0.001434596
3,0.002222143,0.002151121
4,0.002961759,0.002867133
5,0.003700827,0.003582631
6,0.004439347,0.004297616
7,0.00517732,0.005012087
8,0.005914746,0.005726046
9,0.006651625,0.006439492
10,0.007387958,0.007152427
11,0.008123745,0.00786485
12,0.008858987,0.008576762
13,0.009593683,0.009288163
14,0.010327836,0.009999053
15,0.011061443,0.010709434
16,0.011794507,0.011419304
17,0.012527028,0.012128666
18,0.013259006,0.012837518
19,0.013990441,0.013545861
20,0.014721334,0.014253697
21,0.015451685,0.014961024
22,0.016181495,0.015667844
23,0.016910764,0.016374157
24,0.017639492,0.017079963
25,0.01836768,0.017785262
26,0.019095328,0.018490056
27,0.019822437,0.019194343
28,0.020549007,0.019898125
29,0.021275038,0.020601403
30,0.022000531,0.021304175
31,0.022725487,0.022006444
32,0.023449905,0.022708208
33,0.024173786,0.023409469
34,0.02489713,0.024110227
35,0.025619938,0.024810481
36,0.026342211,0.025510234
37,0.027063948,0.026209484
38,0.02778515,0.026908233
39,0.028505817,0.02760648
40,0.02922595,0.028304226
41,0.02994555,0.029001471
42,0.030664616,0.029698216
43,0.031383149,0.030394461
44,0.032101149,0.031090207
45,0.032818617,0.031785453
46,0.033535553,0.032480201
47,0.034251958,0.03317445
48,0.034967832,0.0338682
49,0.035683175,0.034561453
50,0.036397988,0.035254209
51,0.037112271,0.035946467
52,0.037826025,0.036638229
53,0.038539249,0.037329494
54,0.039251945,0.038020264
55,0.039964112,0.038710537
56,0.040675752,0.039400315
57,0.041386864,0.040089599
58,0.042097449,0.040778388
59,0.042807507,0.041466682
60,0.043517039,0.042154483
61,0.044226045,0.04284179
62,0.044934525,0.043528604
63,0.045642481,0.044214925
64,0.046349911,0.044900753
65,0.047056817,0.04558609
66,0.047763199,0.046270935
67,0.048469058,0.046955288
68,0.049174393,0.04763915
69,0.049879205,0.048322522
70,0.050583495,0.049005403
71,0.051287263,0.049687794
72,0.051990509,0.050369696
73,0.052693234,0.051051108
74,0.053395438,0.051732031
75,0.054097121,0.052412466
76,0.054798285,0.053092412
77,0.055498928,0.053771871
78,0.056199052,0.054450842
79,0.056898658,0.055129325
80,0.057597744,0.055807322
81,0.058296313,0.056484833
82,0.058994363,0.057161857
83,0.059691896,0.057838395
84,0.060388912,0.058514448
85,0.061085412,0.059190016
86,0.061781395,0.0598651
87,0.062476862,0.060539698
88,0.063171814,0.061213813
89,0.063866251,0.061887444
90,0.064560172,0.062560592
91,0.06525358,0.063233256
92,0.065946473,0.063905438
93,0.066638853,0.064577138
94,0.06733072,0.065248355
95,0.068022073,0.065919091
96,0.068712915,0.066589346
97,0.069403244,0.06725912
98,0.070093061,0.067928413
99,0.070782367,0.068597226
100,0.071471162,0.069265558
101,0.072159447,0.069933412
102,0.072847221,0.070600786
103,0.073534486,0.071267681
104,0.074221241,0.071934098
105,0.074907487,0.072600037
106,0.075593224,0.073265497
107,0.076278453,0.073930481
108,0.076963175,0.074594987
109,0.077647388,0.075259016
110,0.078331094,0.075922569
111,0.079014294,0.076585645
112,0.079696987,0.077248246
113,0.080379174,0.077910371
114,0.081060856,0.078572022
115,0.081742032,0.079233197
116,0.082422703,0.079893898
117,0.083102869,0.080554125
118,0.083782532,0.081213878
119,0.08446169,0.081873158
120,0.085140346,0.082531965
121,0.085818498,0.083190299
122,0.086496147,0.083848161
123,0.087173294,0.08450555
124,0.087849939,0.085162468
125,0.088526083,0.085818915
126,0.089201725,0.08647489
127,0.089876867,0.087130395
128,0.090551508,0.087785429
129,0.091225649,0.088439993
130,0.09189929,0.089094088
131,0.092572432,0.089747713
132,0.093245075,0.09040087
133,0.093917219,0.091053557
134,0.094588866,0.091705777
135,0.095260014,0.092357528
136,0.095930665,0.093008812
137,0.096600818,0.093659628
138,0.097270475,0.094309977
139,0.097939636,0.09495986
140,0.0986083,0.095609276
141,0.099276469,0.096258227
142,0.099944142,0.096906711
143,0.100611321,0.097554731
144,0.101278005,0.098202285
145,0.101944195,0.098849375
146,0.102609891,0.099496
